episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-31.0099999999984,33.50999999998905,1,15.5049999999992,0.999905,2,tabular_q,0
1,-39.1999999999869,54.14999999998571,1,9.799999999996725,0.999715,4,tabular_q,0
2,-28.630000000004657,28.630000000006817,1,28.630000000004657,0.9996675,1,tabular_q,0
3,-30.279999999998836,30.27999999999409,1,14.939250006675138,0.9995725,2,tabular_q,0
4,-22.508333333326057,19.999999999988916,1,7.502777777775353,0.99943,3,tabular_q,0
5,-27.880000000004657,27.879999999999683,1,13.940000000002328,0.999335,2,tabular_q,0
6,-43.91000000000349,43.909999999996785,1,43.91000000000349,0.9992875,1,tabular_q,0
7,-49.051666666655606,55.909999999984805,1,11.731666666663902,0.9990975,4,tabular_q,0
8,-27.54066666666903,34.32999999999792,1,6.697666666667257,0.9989075,4,tabular_q,0
9,-22.33506666666752,23.559999999999732,1,3.6077888890214855,0.9986225,6,tabular_q,0
10,-39.00999999999476,39.00999999999044,1,39.00999999999476,0.998575,1,tabular_q,0
11,-28.51000000000058,34.10999999999653,1,6.800125005245354,0.998385,4,tabular_q,0
12,-31.483333333327515,33.14999999999024,1,4.7683889044646,0.9981,6,tabular_q,0
13,-26.041466666665958,27.2799999999922,1,4.659800669234452,0.9978625,5,tabular_q,0
14,-30.27843333333748,31.749999999994287,1,4.313898571144947,0.99753,7,tabular_q,0
15,-32.87056666666914,42.14999999999861,1,6.205786831206256,0.9972925,5,tabular_q,0
16,-36.09999999998763,38.599999999981094,1,14.256158777874298,0.9971975,2,tabular_q,0
17,-35.69000000000233,38.19000000000017,1,17.207500011922093,0.9971025,2,tabular_q,0
18,-35.90999999998894,35.90999999998701,1,32.00899997710076,0.997055,1,tabular_q,0
19,-15.375433333322219,18.389999999986216,1,2.56257222222037,0.99677,6,tabular_q,0
20,-26.325000000000003,24.99999999999858,1,5.1653333333414055,0.9965325,5,tabular_q,0
21,-25.159999999996217,27.659999999990248,1,11.194999979732529,0.9964375,2,tabular_q,0
22,-30.60999999999367,33.70999999999036,1,6.734033372400608,0.9962475,4,tabular_q,0
23,-40.00999999999476,42.50999999999294,1,18.359249954221013,0.9961525,2,tabular_q,0
24,-29.2124666666583,30.75999999999118,1,7.106893745711279,0.9959625,4,tabular_q,0
25,-35.328733333331,35.30999999999946,1,9.857212148898727,0.99582,3,tabular_q,0
26,-29.212466666664483,35.70999999999202,1,5.581487881532759,0.99563,4,tabular_q,0
27,-28.669999999998254,28.66999999999109,1,24.279000205991906,0.9955825,1,tabular_q,0
28,-23.110000000000582,23.11000000000263,1,23.110000000000582,0.995535,1,tabular_q,0
